"","email_subject","date_email_sent","sales_amount","X","group","group_code","before_march","day_of_week","emails_sent","number_opens","number_clicks","number_unsub","number_orders","open_to_click_rate","opens_rate","clicks_rate","unsub_rate","orders_rate"
"1","ACT NOW: SPRING BESTSELLERS FLYING OFF THE SHELVES!","2004-03-08",48922.77,45,"Alarming Approach","Group B0","False","0 - Monday",30,1,1,1,1,1,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333
"2","ACT NOW: SPRING BESTSELLERS FLYING OFF THE SHELVES!","2004-03-10",0,19,"Alarming Approach","Group B2","False","2 - Wednesday",30,1,1,1,0,1,0.0333333333333333,0.0333333333333333,0.0333333333333333,0
"3","ACT NOW: SPRING BESTSELLERS FLYING OFF THE SHELVES!","2004-03-12",0,71,"Alarming Approach","Group B4","False","4 - Friday",30,1,0,2,0,0,0.0333333333333333,0,0.0666666666666667,0
"4","APRIL ESSENTIALS: DON’T LET THESE SELL OUT!","2004-04-12",0,55,"Alarming Approach","Group B0","False","0 - Monday",25,5,0,0,0,0,0.2,0,0,0
"5","APRIL ESSENTIALS: DON’T LET THESE SELL OUT!","2004-04-14",0,29,"Alarming Approach","Group B2","False","2 - Wednesday",25,1,1,0,0,1,0.04,0.04,0,0
"6","APRIL ESSENTIALS: DON’T LET THESE SELL OUT!","2004-04-16",0,81,"Alarming Approach","Group B4","False","4 - Friday",26,1,1,2,0,1,0.0384615384615385,0.0384615384615385,0.0769230769230769,0
"7","April Showers Bring Bestsellers—Stock Up Now!","2004-04-05",0,52,"Conversational Approach","Group A0","False","0 - Monday",32,3,1,1,0,0.333333333333333,0.09375,0.03125,0.03125,0
"8","April Showers Bring Bestsellers—Stock Up Now!","2004-04-07",17114.43,26,"Conversational Approach","Group A2","False","2 - Wednesday",31,2,1,0,2,0.5,0.0645161290322581,0.032258064516129,0,0.0645161290322581
"9","April Showers Bring Bestsellers—Stock Up Now!","2004-04-07",31329.56,26,"Conversational Approach","Group A2","False","2 - Wednesday",31,2,1,0,2,0.5,0.0645161290322581,0.032258064516129,0,0.0645161290322581
"10","April Showers Bring Bestsellers—Stock Up Now!","2004-04-09",39341.23,78,"Conversational Approach","Group A4","False","4 - Friday",33,2,1,0,2,0.5,0.0606060606060606,0.0303030303030303,0,0.0606060606060606
"11","April Showers Bring Bestsellers—Stock Up Now!","2004-04-09",17813.4,78,"Conversational Approach","Group A4","False","4 - Friday",33,2,1,0,2,0.5,0.0606060606060606,0.0303030303030303,0,0.0606060606060606
"12","BACK BY POPULAR DEMAND: ORDER NOW BEFORE IT’S GONE AGAIN!","2004-04-26",0,59,"Alarming Approach","Group B0","False","0 - Monday",24,3,2,0,0,0.666666666666667,0.125,0.0833333333333333,0,0
"13","BACK BY POPULAR DEMAND: ORDER NOW BEFORE IT’S GONE AGAIN!","2004-04-28",0,33,"Alarming Approach","Group B2","False","2 - Wednesday",24,1,1,1,0,1,0.0416666666666667,0.0416666666666667,0.0416666666666667,0
"14","BACK BY POPULAR DEMAND: ORDER NOW BEFORE IT’S GONE AGAIN!","2004-04-30",0,85,"Alarming Approach","Group B4","False","4 - Friday",24,1,1,1,0,1,0.0416666666666667,0.0416666666666667,0.0416666666666667,0
"15","DON’T MISS OUT: MID-MARCH’S HOTTEST MODELS!","2004-03-15",15330.7,47,"Alarming Approach","Group B0","False","0 - Monday",29,6,2,2,1,0.333333333333333,0.206896551724138,0.0689655172413793,0.0689655172413793,0.0344827586206897
"16","DON’T MISS OUT: MID-MARCH’S HOTTEST MODELS!","2004-03-17",0,21,"Alarming Approach","Group B2","False","2 - Wednesday",29,1,0,1,0,0,0.0344827586206897,0,0.0344827586206897,0
"17","DON’T MISS OUT: MID-MARCH’S HOTTEST MODELS!","2004-03-19",0,73,"Alarming Approach","Group B4","False","4 - Friday",28,1,0,0,0,0,0.0357142857142857,0,0,0
"18","DON’T WAIT: START THE YEAR WITH THESE HOT PICKS!","2004-01-14",0,3,"Alarming Approach","Group B","True","2 - Wednesday",101,28,3,0,0,0.107142857142857,0.277227722772277,0.0297029702970297,0,0
"19","End of March Favorites: Your Customers Will Love These","2004-03-29",0,50,"Conversational Approach","Group A0","False","0 - Monday",32,2,2,0,0,1,0.0625,0.0625,0,0
"20","End of March Favorites: Your Customers Will Love These","2004-03-31",31302.5,24,"Conversational Approach","Group A2","False","2 - Wednesday",31,4,1,0,1,0.25,0.129032258064516,0.032258064516129,0,0.032258064516129
"21","End of March Favorites: Your Customers Will Love These","2004-04-02",7287.24,76,"Conversational Approach","Group A4","False","4 - Friday",33,4,2,0,1,0.5,0.121212121212121,0.0606060606060606,0,0.0303030303030303
"22","End of May: Perfect Picks for Summer Ahead","2004-05-24",0,66,"Conversational Approach","Group A0","False","0 - Monday",30,3,1,0,0,0.333333333333333,0.1,0.0333333333333333,0,0
"23","End of May: Perfect Picks for Summer Ahead","2004-05-26",27931.21,40,"Conversational Approach","Group A2","False","2 - Wednesday",29,3,2,0,1,0.666666666666667,0.103448275862069,0.0689655172413793,0,0.0344827586206897
"24","End of May: Perfect Picks for Summer Ahead","2004-05-28",0,92,"Conversational Approach","Group A4","False","4 - Friday",31,1,1,0,0,1,0.032258064516129,0.032258064516129,0,0
"25","February Favorites: Check Out Our Bestsellers This Month","2004-02-25",25872.22,14,"Conversational Approach","Group A","True","2 - Wednesday",102,12,5,1,1,0.416666666666667,0.117647058823529,0.0490196078431373,0.00980392156862745,0.00980392156862745
"26","FINAL CALL: VALENTINE’S MODELS ALMOST GONE!","2004-02-11",38784.47,11,"Alarming Approach","Group B","True","2 - Wednesday",98,23,4,0,1,0.173913043478261,0.23469387755102,0.0408163265306122,0,0.0102040816326531
"27","Fresh Finds for the New Season—See What’s in Stock","2004-03-22",0,48,"Conversational Approach","Group A0","False","0 - Monday",32,2,2,0,0,1,0.0625,0.0625,0,0
"28","Fresh Finds for the New Season—See What’s in Stock","2004-03-24",0,22,"Conversational Approach","Group A2","False","2 - Wednesday",32,3,1,1,0,0.333333333333333,0.09375,0.03125,0.03125,0
"29","Fresh Finds for the New Season—See What’s in Stock","2004-03-26",8722.12,74,"Conversational Approach","Group A4","False","4 - Friday",33,1,0,0,1,0,0.0303030303030303,0,0,0.0303030303030303
"30","Fresh Start, Fresh Models—Your Store Will Love These","2004-01-14",51172.65,2,"Conversational Approach","Group A","True","2 - Wednesday",102,16,5,0,2,0.3125,0.156862745098039,0.0490196078431373,0,0.0196078431372549
"31","Fresh Start, Fresh Models—Your Store Will Love These","2004-01-14",65165.17,2,"Conversational Approach","Group A","True","2 - Wednesday",102,16,5,0,2,0.3125,0.156862745098039,0.0490196078431373,0,0.0196078431372549
"32","Last-Minute Valentine’s Day Picks for Your Store","2004-02-11",0,10,"Conversational Approach","Group A","True","2 - Wednesday",102,11,8,0,0,0.727272727272727,0.107843137254902,0.0784313725490196,0,0
"33","Let’s Celebrate Moms and Dads with These Collectibles","2004-05-03",0,60,"Conversational Approach","Group A0","False","0 - Monday",30,3,3,0,0,1,0.1,0.1,0,0
"34","Let’s Celebrate Moms and Dads with These Collectibles","2004-05-05",14380.92,34,"Conversational Approach","Group A2","False","2 - Wednesday",29,2,0,0,2,0,0.0689655172413793,0,0,0.0689655172413793
"35","Let’s Celebrate Moms and Dads with These Collectibles","2004-05-05",31018.23,34,"Conversational Approach","Group A2","False","2 - Wednesday",29,2,0,0,2,0,0.0689655172413793,0,0,0.0689655172413793
"36","Let’s Celebrate Moms and Dads with These Collectibles","2004-05-07",45357.66,86,"Conversational Approach","Group A4","False","4 - Friday",32,1,0,1,1,0,0.03125,0,0.03125,0.03125
"37","LIMITED EDITION MODELS FOR APRIL: ORDER FAST!","2004-04-05",24804.34,53,"Alarming Approach","Group B0","False","0 - Monday",26,5,0,1,1,0,0.192307692307692,0,0.0384615384615385,0.0384615384615385
"38","LIMITED EDITION MODELS FOR APRIL: ORDER FAST!","2004-04-07",0,27,"Alarming Approach","Group B2","False","2 - Wednesday",26,3,0,1,0,0,0.115384615384615,0,0.0384615384615385,0
"39","LIMITED EDITION MODELS FOR APRIL: ORDER FAST!","2004-04-09",0,79,"Alarming Approach","Group B4","False","4 - Friday",27,1,1,1,0,1,0.037037037037037,0.037037037037037,0.037037037037037,0
"40","LIMITED SUPPLY: FATHER’S DAY BESTSELLERS IN STOCK NOW!","2004-05-10",48472.24,63,"Alarming Approach","Group B0","False","0 - Monday",24,6,2,0,1,0.333333333333333,0.25,0.0833333333333333,0,0.0416666666666667
"41","LIMITED SUPPLY: FATHER’S DAY BESTSELLERS IN STOCK NOW!","2004-05-12",0,37,"Alarming Approach","Group B2","False","2 - Wednesday",22,2,0,1,0,0,0.0909090909090909,0,0.0454545454545455,0
"42","LIMITED SUPPLY: FATHER’S DAY BESTSELLERS IN STOCK NOW!","2004-05-14",0,89,"Alarming Approach","Group B4","False","4 - Friday",22,3,0,1,0,0,0.136363636363636,0,0.0454545454545455,0
"43","Mid-January Refresh: Perfect Additions to Your Inventory","2004-01-21",8477.22,4,"Conversational Approach","Group A","True","2 - Wednesday",102,25,4,0,1,0.16,0.245098039215686,0.0392156862745098,0,0.00980392156862745
"44","Mid-March Marvels: Check Out These Customer Favorites","2004-03-15",0,46,"Conversational Approach","Group A0","False","0 - Monday",32,2,2,0,0,1,0.0625,0.0625,0,0
